text,label,language,priority
Sector 5 में पार्क रखरखाव की समस्या है,Public Services,Hindi,Medium
Station Road में सड़क असमान है,Roads,Hindi,Low
Bridge damaged near Industrial Area,Roads,English,Low
Street lights not functioning in Civil Lines,Public Services,English,Low
Water tank is overflowing in Station Road,Water,English,High
Low water pressure in MG Road,Water,English,Low
Power outage for several hours in Village Area,Electricity,English,Medium
Uneven road surface in Green Park,Roads,English,Medium
Low water pressure in Shivaji Colony,Water,English,Medium
Poor public transport in Main Market,Public Services,English,Low
Village Area में शॉर्ट सर्किट हुआ है,Electricity,Hindi,Medium
Sewage overflow in Station Road,Sanitation,English,High
Drain blockage reported in City Center,Sanitation,English,Medium
Station Road में स्ट्रीट लाइट काम नहीं कर रही,Public Services,Hindi,Medium
Low water pressure in Sector 5,Water,English,Medium
Unclean streets in MG Road,Sanitation,English,Medium
Frequent voltage fluctuations in Village Area,Electricity,English,Low
Sewage overflow in Village Area,Sanitation,English,High
Subhash Chowk में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Medium
Public safety concern in Green Park,Public Services,English,Medium
Water supply is not available in Subhash Chowk,Water,English,Medium
Shivaji Colony में नाली जाम है,Sanitation,Hindi,Low
Rajendra Nagar में पानी की कमी है,Water,Hindi,Low
Station Road में लो वोल्टेज की समस्या है,Electricity,Hindi,Low
Low water pressure in MG Road,Water,English,Low
Subhash Chowk में वोल्टेज की समस्या है,Electricity,Hindi,Medium
Electric wires are hanging dangerously in MG Road,Electricity,English,High
Broken water pipe in Old City,Water,English,Low
Green Park में सुबह से बिजली गई हुई है,Electricity,Hindi,Low
Main Market में सरकारी कार्यालय जवाब नहीं दे रहा,Public Services,Hindi,Medium
Hospital service issue in Ward 12,Public Services,English,Low
Shivaji Colony में गंदा पानी आ रहा है,Water,Hindi,Low
Station Road में पानी की कमी है,Water,Hindi,Medium
Waste dumping issue in City Center,Sanitation,English,Low
Old City में वोल्टेज की समस्या है,Electricity,Hindi,Low
City Center में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Medium
Water supply is not available in Old City,Water,English,Medium
Subhash Chowk में सरकारी कार्यालय जवाब नहीं दे रहा,Public Services,Hindi,Medium
There is no electricity in Industrial Area,Electricity,English,Medium
There is no electricity in Station Road,Electricity,English,Low
MG Road में नाली से बदबू आ रही है,Sanitation,Hindi,Medium
Open drains causing problems in Village Area,Sanitation,English,Low
Mosquito problem due to dirty drains in Green Park,Sanitation,English,Medium
MG Road में वोल्टेज की समस्या है,Electricity,Hindi,Low
Civil Lines में सड़क निर्माण अधूरा है,Roads,Hindi,Medium
Poor public transport in Village Area,Public Services,English,Low
No drinking water in Main Market,Water,English,Medium
Rajendra Nagar में मच्छरों की समस्या बढ़ रही है,Sanitation,Hindi,Medium
City Center में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Medium
Village Area में बिजली का खंभा टूट गया है,Electricity,Hindi,Low
Nehru Nagar में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Medium
Short circuit reported in Subhash Chowk,Electricity,English,Medium
Sector 5 में लो वोल्टेज की समस्या है,Electricity,Hindi,Medium
Nehru Nagar में शॉर्ट सर्किट हुआ है,Electricity,Hindi,Low
Waste dumping issue in Nehru Nagar,Sanitation,English,Medium
Short circuit reported in Green Park,Electricity,English,Medium
Green Park में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Medium
Public toilet is dirty in City Center,Public Services,English,Medium
